no,image_name,detect_num,type,type_id,image_height,image_width,figure,points,count,center_x,center_y,area,defect_height,defect_width,crack_straight,crack_ratio of perimeter and area,crack_cir,date
1,ST1_WB_SI_DETECT_0001,0001,etc,etc_0001,577,1826,,"[[1502, 234], [1502, 264], [1505, 264], [1506, 265], [1506, 266], [1507, 267], [1507, 269], [1508, 270], [1508, 272], [1509, 273], [1509, 276], [1510, 277], [1510, 278], [1509, 279], [1509, 281], [1507, 283], [1507, 284], [1506, 285], [1502, 285], [1502, 293], [1510, 293], [1510, 290], [1512, 288], [1513, 288], [1515, 286], [1515, 285], [1516, 284], [1516, 283], [1517, 282], [1517, 281]]",30,,,888.0,23.0,59.0,,,,2025-09-02
2,ST1_WB_SI_DETECT_0001,0002,etc,etc_0002,577,1826,,"[[558, 238], [558, 265], [561, 265], [562, 266], [562, 267], [563, 268], [563, 271], [564, 272], [564, 274], [567, 277], [567, 281], [572, 281], [572, 278], [573, 277], [573, 276], [575, 274], [575, 273], [576, 272], [576, 271], [577, 270], [577, 269], [578, 268], [578, 266], [579, 265], [579, 262], [580, 261], [580, 256], [581, 255], [581, 254], [580, 253]]",30,,,718.0,23.0,43.0,,,,2025-09-02
3,ST1_WB_SI_DETECT_0001,0003,etc,etc_0003,577,1826,,"[[1370, 238], [1370, 273], [1373, 273], [1375, 275], [1375, 276], [1376, 276], [1377, 277], [1378, 277], [1381, 274], [1381, 272], [1382, 271], [1382, 269], [1383, 268], [1383, 267], [1384, 266], [1384, 265], [1385, 264], [1385, 263], [1386, 262], [1386, 261], [1389, 258], [1389, 257], [1390, 256], [1390, 255], [1391, 254], [1391, 251], [1392, 250], [1392, 245], [1391, 244], [1391, 238]]",30,,,654.0,22.0,39.0,,,,2025-09-02
4,ST1_WB_SI_DETECT_0002,0001,crack,crack_0001,569,1814,,"[[906, 506], [906, 520], [913, 520], [913, 506]]",4,,,98.0,7.0,14.0,,,,2025-09-02
5,ST1_WB_SI_DETECT_0006,0001,crack,crack_0001,602,1918,,"[[718, 210], [725, 220], [729, 221], [733, 223], [736, 224], [742, 229], [747, 232], [749, 235], [751, 237], [757, 244], [758, 247], [760, 250], [761, 253], [763, 257], [764, 267], [764, 280], [761, 287], [756, 293], [759, 293], [766, 286], [768, 282], [773, 276], [769, 265], [768, 258], [766, 253], [765, 250], [763, 247], [762, 243], [758, 238], [755, 233]]",30,,,563.5,55.0,84.0,,,,2025-09-02
6,ST1_WB_SI_DETECT_0008,0001,crack,crack_0001,630,2002,,"[[746, 218], [756, 227], [761, 229], [768, 231], [772, 233], [776, 235], [782, 239], [793, 250], [796, 255], [799, 260], [801, 264], [803, 273], [805, 290], [803, 296], [800, 303], [798, 310], [803, 305], [807, 299], [809, 294], [810, 272], [808, 265], [806, 260], [804, 256], [801, 251], [795, 243], [783, 233], [779, 231], [774, 228], [770, 226], [763, 224]]",30,,,784.0,67.0,92.0,,,,2025-09-02
7,ST1_WB_SI_DETECT_0010,0001,etc,etc_0001,646,2058,,"[[526, 242], [526, 250], [530, 250], [531, 251], [537, 251], [538, 252], [543, 252], [544, 253], [545, 253], [546, 254], [546, 257], [557, 257], [557, 252], [554, 252], [550, 248], [549, 248], [548, 247], [547, 247], [546, 246], [546, 242]]",20,,,269.0,31.0,15.0,,,,2025-09-02
8,ST1_WB_SI_DETECT_0010,0002,crack,crack_0002,646,2058,,"[[770, 214], [778, 222], [786, 224], [792, 226], [797, 228], [802, 231], [806, 233], [813, 238], [821, 246], [825, 252], [827, 256], [829, 260], [831, 265], [833, 272], [835, 279], [835, 293], [833, 297], [829, 303], [823, 309], [829, 308], [834, 303], [836, 299], [839, 293], [841, 279], [839, 271], [837, 266], [835, 260], [833, 256], [831, 251], [827, 245]]",30,,,725.5,71.0,96.0,,,,2025-09-02
9,ST1_WB_SI_DETECT_0012,0001,crack,crack_0001,662,2070,,"[[770, 226], [781, 237], [789, 239], [795, 242], [803, 244], [809, 248], [816, 252], [830, 268], [833, 274], [836, 279], [838, 284], [841, 291], [843, 305], [840, 316], [837, 322], [831, 330], [836, 329], [843, 321], [846, 316], [848, 304], [847, 292], [845, 285], [842, 279], [840, 273], [837, 268], [833, 261], [822, 250], [813, 242], [808, 240], [801, 237]]",30,,,864.5,79.0,105.0,,,,2025-09-02
10,ST1_WB_SI_DETECT_0013,0001,crack,crack_0001,665,2080,,"[[782, 226], [791, 234], [798, 236], [803, 238], [807, 240], [811, 242], [815, 244], [819, 246], [831, 258], [834, 263], [837, 268], [840, 273], [842, 278], [844, 284], [846, 305], [844, 311], [841, 317], [847, 314], [850, 308], [849, 281], [847, 275], [845, 270], [842, 264], [838, 258], [827, 245], [821, 241], [816, 238], [812, 236], [808, 234], [803, 232]]",30,,,776.5,71.0,93.0,,,,2025-09-02
